ORDER_ID,CUSTOMER_ID,PRODUCT_ID,ORDER_DATE,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT,PAYMENT_MODE,ORDER_STATUS
ORD0000000025,CUST00009797,PROD001786,2025-11-11,2,24775.77,49551.54,UPI,Delivered
ORD0000000026,CUST00022625,PROD000927,2025-06-09,1,2016.00,2016.00,UPI,Delivered
ORD0000000027,CUST00015073,PROD000524,2025-03-02,1,1904.89,1904.89,COD,Delivered
ORD0000000028,CUST00028040,PROD000475,2024-12-06,1,3507.32,3407.32,UPI,Delivered
ORD0000000029,CUST00039705,PROD000021,2025-10-12,1,16881.99,16881.99,COD,Delivered
ORD0000000030,CUST00032655,PROD000526,2026-04-20,1,18704.01,18654.01,DEBIT CARD,Shipped
ORD0000000031,CUST00014976,PROD001394,2026-04-08,1,860.78,774.70,UPI,Delivered
ORD0000000032,CUST00008760,PROD000282,2024-06-17,2,70059.18,126106.52,COD,Cancelled
ORD0000000033,CUST00012150,PROD001506,2026-02-12,1,9657.98,9657.98,UPI,Delivered
ORD0000000034,CUST00034066,PROD000456,2026-01-12,1,47155.97,42440.37,COD,Processing
ORD0000000035,CUST00011072,PROD000437,2026-04-30,1,343.36,421.33,UPI,Delivered
ORD0000000036,CUST00010522,PROD001088,2026-06-06,1,73098.84,73098.84,UPI,Processing
ORD0000000037,CUST00038528,PROD000534,2025-07-02,2,6775.60,13551.20,UPI,Cancelled
ORD0000000038,CUST00027376,PROD001171,2025-08-20,1,3315.80,3315.80,COD,Returned
ORD0000000039,CUST00003101,PROD000155,2025-07-08,1,42492.94,42492.94,COD,Delivered
ORD0000000040,CUST00006605,PROD001513,2025-03-16,1,1974.72,1974.72,UPI,Delivered
ORD0000000041,CUST00023922,PROD000317,2025-09-20,2,51352.73,102705.46,UPI,Processing
ORD0000000042,CUST00034257,PROD000461,2025-09-29,2,5052.11,10004.22,UPI,Delivered
ORD0000000043,CUST00020140,PROD000290,2025-07-31,1,10611.88,10611.88,DEBIT CARD,Delivered
ORD0000000044,CUST00037473,PROD000777,2026-05-13,1,10793.08,10793.08,UPI,Delivered
ORD0000000045,CUST00026163,PROD000032,2025-10-23,1,579.08,579.08,COD,Delivered
ORD0000000046,CUST00035463,PROD001121,2024-11-17,1,33653.20,33653.20,DEBIT CARD,Delivered
ORD0000000047,CUST00021297,PROD001753,2025-06-20,1,10285.70,10285.70,UPI,Returned
ORD0000000048,CUST00005593,PROD001764,2026-06-19,1,25818.78,25818.78,DEBIT CARD,Delivered
ORD0000000049,CUST00005965,PROD001111,2025-09-17,1,704.11,704.11,CREDIT CARD,Delivered
ORD0000000050,CUST00001759,PROD000569,2025-06-26,2,4227.67,8455.34,UPI,Delivered
ORD0000000051,CUST00008468,PROD001332,2024-06-08,2,80247.86,160495.72,UPI,Delivered
ORD0000000052,CUST00012217,PROD000052,2024-10-04,1,750.99,750.99,COD,Delivered
ORD0000000053,CUST00015381,PROD001758,2026-01-29,1,4351.80,4351.80,UPI,Shipped
ORD0000000054,CUST00000602,PROD000534,2026-01-25,1,6775.60,6098.04,UPI,Delivered
ORD0000000055,CUST00016682,PROD001408,2025-07-14,1,8508.72,8408.72,COD,Delivered
ORD0000000056,CUST00007096,PROD000988,2026-02-04,1,9272.75,9272.75,UPI,Delivered
ORD0000000057,CUST00030526,PROD001369,2025-02-08,1,91261.86,91261.86,COD,Delivered
ORD0000000058,CUST00029530,PROD000594,2026-04-20,1,93.82,157.10,UPI,Delivered
ORD0000000059,CUST00015980,PROD000722,2026-06-15,1,18978.05,18978.05,UPI,Delivered
ORD0000000060,CUST00010929,PROD000918,2026-05-05,2,399.86,719.75,COD,Delivered
ORD0000000061,CUST00037687,PROD001956,2024-06-05,1,1322.47,1322.47,COD,Delivered
ORD0000000062,CUST00013748,PROD001861,2025-05-26,1,7114.12,7114.12,UPI,Delivered
ORD0000000063,CUST00007327,PROD000936,2026-03-20,1,194.98,281.32,UPI,Delivered
ORD0000000064,CUST00039925,PROD000861,2025-10-26,1,15962.12,14365.91,UPI,Delivered
ORD0000000065,CUST00020501,PROD001018,2026-05-27,1,40783.20,40783.20,COD,Delivered
ORD0000000066,CUST00016657,PROD001544,2025-01-27,1,61389.65,61289.65,COD,Delivered
ORD0000000067,CUST00023286,PROD001892,2026-03-26,1,26870.55,26870.55,UPI,Delivered
ORD0000000068,CUST00037589,PROD000132,2025-10-14,1,101.40,180.23,COD,Delivered
ORD0000000069,CUST00033303,PROD000119,2024-10-02,1,44050.50,44050.50,COD,Delivered
ORD0000000070,CUST00006996,PROD000529,2026-04-24,1,7703.56,7703.56,UPI,Delivered
ORD0000000071,CUST00012044,PROD001552,2026-01-09,1,4238.68,4238.68,DEBIT CARD,Delivered
ORD0000000072,CUST00033715,PROD000500,2024-10-12,1,2543.44,2289.10,DEBIT CARD,Delivered
ORD0000000073,CUST00020345,PROD000317,2024-12-22,1,51352.73,51352.73,COD,Delivered
ORD0000000074,CUST00032054,PROD000530,2024-11-23,1,38106.57,38106.57,COD,Delivered
ORD0000000075,CUST00008912,PROD001264,2024-11-24,1,101981.38,101981.38,COD,Shipped
ORD0000000076,CUST00024078,PROD001485,2024-06-27,1,10965.89,9869.30,DEBIT CARD,Delivered
ORD0000000077,CUST00003372,PROD001265,2024-10-28,1,14227.45,14227.45,UPI,Delivered
ORD0000000078,CUST00011408,PROD001502,2026-04-15,1,47.57,113.09,UPI,Delivered
ORD0000000079,CUST00001261,PROD000865,2024-12-31,1,15138.78,15138.78,COD,Delivered
ORD0000000080,CUST00032378,PROD001578,2026-05-13,2,5214.67,10429.34,UPI,Delivered
ORD0000000081,CUST00016492,PROD001368,2024-12-11,1,55091.10,55091.10,UPI,Delivered
ORD0000000082,CUST00037413,PROD001438,2025-01-27,1,25192.56,25192.56,COD,Delivered
ORD0000000083,CUST00039496,PROD001585,2025-06-04,1,10134.84,10134.84,UPI,Delivered
ORD0000000084,CUST00028795,PROD000088,2025-07-25,1,2026.84,2026.84,COD,Delivered
ORD0000000085,CUST00028689,PROD001595,2025-06-27,1,1360.31,1360.31,UPI,Delivered
ORD0000000086,CUST00019089,PROD001393,2024-10-14,1,652.93,587.64,COD,Delivered
ORD0000000087,CUST00031534,PROD000181,2024-12-25,1,7430.74,7430.74,UPI,Returned
ORD0000000088,CUST00008617,PROD000286,2025-05-08,1,3350.57,3350.57,COD,Delivered
ORD0000000089,CUST00035297,PROD001938,2025-03-14,1,10585.72,10585.72,UPI,Delivered
ORD0000000090,CUST00022052,PROD000679,2025-07-03,1,36241.70,36241.70,UPI,Delivered
ORD0000000091,CUST00007248,PROD001326,2025-05-05,1,1003.26,1003.26,COD,Delivered
ORD0000000092,CUST00015887,PROD001979,2025-08-24,2,2576.42,5152.84,UPI,Delivered
ORD0000000093,CUST00017884,PROD001909,2025-10-31,1,946.90,946.90,UPI,Delivered
ORD0000000094,CUST00022629,PROD001545,2025-12-20,1,73602.19,73602.19,COD,Shipped
ORD0000000095,CUST00004660,PROD001600,2026-04-08,1,16814.21,16814.21,UPI,Returned
ORD0000000096,CUST00038032,PROD001993,2024-12-20,1,1673.61,1673.61,COD,Delivered
ORD0000000097,CUST00016842,PROD000954,2025-05-23,1,3435.21,3435.21,UPI,Delivered
ORD0000000098,CUST00005125,PROD001437,2025-01-07,1,69021.17,69021.17,UPI,Delivered
ORD0000000099,CUST00004137,PROD001579,2025-12-27,1,8354.44,7519.00,UPI,Delivered
ORD0000000100,CUST00026613,PROD000111,2026-01-30,1,10966.85,10966.85,UPI,Delivered
